id,name,shows,instrument,sortVal
20,Adam Morford,108,percussion,
17,Alecia Chakour,94:99:98:328,vocals; tambourine,
10,Amy Helm,62,vocals,
37,Andrew Barr,228:229,drums,
35,Ben Perowsky,199,drums,
21,Billy Martin,108,percussion,
24,Bob Weir,85:118:283,guitar; vocals,
38,Brad Barr,228:229,guitar; vocals,
44,Branford Marsalis,303:336,saxophone,
3,Chris Harford,83:164:177:215:219,guitar; vocals,
29,Chris Robinson,155,guitar; vocals,
18,Cochema Gastelum,94,bari sax,
13,Eric Biondo,69,trumpet,
26,Eric D Johnson,128:201:226:314:315,guitar; keys; vocals,
27,Erik Deutsch,153:154:155:261,keys,
34,Evan Roque,199:200:201:225:309,drums,
33,Glenn Kotche,197,drums,
40,Ila Benevento,260:297,vocals,
15,Jeff Chimenti,71:72:106:113:190,keys,
23,Jim James,117,vocals,
4,Jimmy Fallon,215,vocal antics,
43,Joe's daughters,297,Loog guitar,
5,John Altieri,59:224,tuba,
36,John Kimock,200,drums,
16,John Mayer,82:125:172,guitar; vocals,
22,John Medeski,108,Hammond organ; percussion,
11,Jon Shaw,63:64:65:66:67:86:112:113:127:230:231:232:233:247:248:249:250:251:252:253:254:261:262:263:301:303:304:330:344,bass; keys,
32,Jonathan Goldberger,176:330,guitar,
25,Jonathan Wilson,128,guitar; vocals,
9,Jordan McLean,59:95:224,trumpet,
14,Katie Jacoby,70:71:109:124:150:224:298,violin,
45,Lee Ranaldo,348,electronic percussion; guitar; vocals,
12,Martin Perna,69:95,tenor sax; bari sax; flute; bells,
6,Matt Bauder,59,bari sax,
28,Nick Bockrath,151,guitar; vocals,
2,Nicole Atkins,28:47:61:62:80:95:96:117:139,vocals,
19,Oteil Burbridge,103:104:105:106:119:167:168:169,bass; vocals,
41,Paul Hoffman,268,"mandolin, vocals",
1,Phil Lesh,10:11:12,bass,
8,Raymond Mason,59:69:95:224,trombone; bells; flute,
31,Red Baraat,176,full band,Red Baraat
42,Ruby Benevento,297,,
7,Stuart Bogie,59:64:69:95:103:105:107:108:123:138:187:201:202:204:221:224:246:260:262:272:281:282:283:284:285:293:302:330:333,tenor sax; flute; clarinet; bass harmonica; mouth harp; bells,
30,Tyrone Cotton,175,guitar; vocals,
