id,show,date,type,url
2,1,1/26/13,soundboard,https://archive.org/details/jrad2013-01-26.mtx
1,1,1/26/13,audience,https://archive.org/details/JRAD2013-01-26.nyctaper
468,1,1/26/13,audience,https://archive.org/details/jrad2013-01-26.fob-bk4022.claymont.vgrm357.flac16
469,1,1/26/13,soundboard,https://archive.org/details/jrad2013-01-26.mk5.sbd.matrix.flac16
470,1,1/26/13,video,https://www.youtube.com/watch?v=k-imU0EJEso
471,1,1/26/13,video,https://www.youtube.com/watch?v=o5tNNvS00Ik
3,2,12/27/13,soundboard,https://archive.org/details/jrad2013-12-27.cmc64.sbd.matrix.flac16
4,2,12/27/13,audience,https://archive.org/details/jrad2013-12-27.cmc641.flac16
5,3,8/1/14,soundboard,https://archive.org/details/jrad2014-08-01.cmc621.sbd.matrix.flac16
6,3,8/1/14,audience,https://archive.org/details/JoeRussosAlmostDead2014-08-01
392,3,8/1/14,video,https://www.youtube.com/watch?v=LTeE_ncumJo
7,4,9/19/14,soundboard,https://archive.org/details/jrad2014-09-19.cmc621.sbd.matrix.flac16
8,5,9/20/14,soundboard,https://archive.org/details/jrad2014-09-20.cmc621.sbd.matrix.flac16
9,6,10/5/14,soundboard,https://archive.org/details/jrad2014-10-05.sbd.flac16
11,7,10/10/14,soundboard,https://archive.org/details/jrad2014-10-10.cmc621.sbd.matrix.flac16
12,7,10/10/14,audience,https://archive.org/details/JRAD2014-10-10
15,8,10/11/14,video,https://www.youtube.com/watch?v=CmcwDa5rfwE
16,8,10/11/14,video,https://www.youtube.com/watch?v=9rAZLVi5Az0
13,8,10/11/14,soundboard,https://archive.org/details/jrad2014-10-11.cmc621.sbd.matrix.flac16
14,8,10/11/14,audience,https://archive.org/details/jrad2014-10-11.fob.mc803.kindrec
17,9,11/2/14,video,https://www.youtube.com/watch?v=kZm8nOG6hhA
18,10,12/29/14,soundboard,"http://www.livedownloads.com/live-music/0,11763/PhilRAD-mp3-flac-download-12-29-2014-The-Capitol-Theatre-Port-Chester-NY.html"
19,10,12/29/14,audience,https://archive.org/details/philrad2014-12-29.cmc641xt.flac16
465,10,12/29/14,audience,https://archive.org/details/philrad2014-12-29.mk5.flac16
20,11,12/30/14,soundboard,"http://www.livedownloads.com/live-music/0,11765/PhilRAD-mp3-flac-download-12-30-2014-The-Capitol-Theatre-Port-Chester-NY.html"
21,11,12/30/14,audience,https://archive.org/details/philrad2014-12-30.cmc641xt.flac16
466,11,12/30/14,audience,https://archive.org/details/philrad2014-12-30.mk5.flac16
22,12,12/31/14,soundboard,"http://www.livedownloads.com/live-music/0,11764/PhilRAD-mp3-flac-download-12-31-2014-The-Capitol-Theatre-Port-Chester-NY.html"
23,12,12/31/14,audience,https://archive.org/details/philrad2014-12-31.cmc641xt.flac16
365,12,12/31/14,video,https://www.youtube.com/watch?v=QOnOHzR_424
467,12,12/31/14,audience,https://archive.org/details/philrad2014-12-31.mk5.flac16
24,13,1/23/15,soundboard,https://archive.org/details/jrad2015-01-23.cmc621.sbd.matrix.flac16
25,13,1/23/15,audience,https://archive.org/details/jrad2015-01-23.cmc65xt.flac16
26,14,1/24/15,soundboard,https://archive.org/details/jrad2015-01-24.cmc621.sbd.matrix.flac16
27,14,1/24/15,audience,https://archive.org/details/jrad2015-01-24.cmc65xt.flac16
459,14,1/24/15,video,https://www.youtube.com/watch?v=iCqTmaRaVa4
28,15,2/5/15,soundboard,https://archive.org/details/jrad2015-02-05.cmc621.sbd.matrix.flac16
29,15,2/5/15,audience,https://archive.org/details/JRAD2015-02-05
30,16,2/6/15,audience,https://archive.org/details/jrad2015-02-06.mk5.flac16
472,16,2/6/15,audience,http://bt.etree.org/details.php?torrentId=578009
31,17,2/7/15,audience,https://archive.org/details/jrad2015-02-07.dpa4011.flac16
473,17,2/7/15,audience,http://bt.etree.org/details.php?torrentId=578079
474,17,2/7/15,audience,http://bt.etree.org/details.php?torrentId=578080
32,18,2/8/15,audience,https://archive.org/details/JRAD2015-02-08._KM140
33,19,2/14/15,audience,https://archive.org/details/jrad2015-02-14.cmc641xt.flac16
475,19,2/14/15,audience,http://bt.etree.org/details.php?torrentId=578172
476,19,2/14/15,audience,http://bt.etree.org/details.php?torrentId=578171
34,20,2/15/15,audience,https://archive.org/details/jrad2015-02-15.cmc641xt.flac16
477,20,2/15/15,audience,http://bt.etree.org/details.php?torrentId=578297
478,20,2/15/15,audience,http://bt.etree.org/details.php?torrentId=578296
479,20,2/15/15,audience,http://bt.etree.org/details.php?torrentId=578192
35,21,2/16/15,audience,https://archive.org/details/jrad2015-02-16.cmc641xt.flac16
480,21,2/16/15,audience,http://bt.etree.org/details.php?torrentId=578206
481,21,2/16/15,audience,http://bt.etree.org/details.php?torrentId=578207
482,21,2/16/15,audience,http://bt.etree.org/details.php?torrentId=578220
36,22,4/22/15,soundboard,https://archive.org/details/jrad2015-04-22.cmc621.sbd.matrix.flac24
37,22,4/22/15,audience,http://bt.etree.org/details.php?id=579730
483,22,4/22/15,audience,http://bt.etree.org/details.php?torrentId=579766
484,22,4/22/15,audience,http://bt.etree.org/details.php?torrentId=579730
38,23,4/23/15,audience,https://archive.org/details/jrad2015-04-23.picklemic
39,24,4/24/15,audience,https://archive.org/details/jrad2015-04-24.akg481
40,25,4/25/15,soundboard,https://archive.org/details/jrad2015-04-25.cmc621.sbd.matrix.flac24
433,25,4/25/15,audience,https://archive.org/details/jrad2015-04-25.mk4v.flac16
485,25,4/25/15,audience,http://bt.etree.org/details.php?torrentId=579590
486,25,4/25/15,audience,http://bt.etree.org/details.php?torrentId=579591
41,26,5/1/15,soundboard,https://archive.org/details/jrad2015-05-01.cmc621.sbd.matrix.flac16
42,26,5/1/15,audience,https://archive.org/details/jrad2015-05-01.busman.bsc2.flac16
488,26,5/1/15,audience,http://bt.etree.org/details.php?torrentId=579798
43,27,5/2/15,audience,https://archive.org/details/JRAD2015-05-02.ADK-TL.FLAC24
487,27,5/2/15,audience,http://bt.etree.org/details.php?torrentId=579683
44,28,5/9/15,soundboard,http://www.nyctaper.com/2015/05/joe-russos-almost-dead-may-9-2015-capitol-theatre-flacmp3streaming-matrix/
45,28,5/9/15,audience,https://archive.org/details/jrad2015-05-09.cmc622xt.flac16
489,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579857
490,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579856
491,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579765
492,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579764
493,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579763
494,28,5/9/15,audience,http://bt.etree.org/details.php?torrentId=579762
46,29,5/16/15,audience,https://archive.org/details/jrad2015-05-16.mk41remaster.flac16
47,31,5/23/15,audience,https://archive.org/details/JRAD2015-05-23
48,32,5/24/15,soundboard,https://archive.org/details/jrad2015-05-24.cmc621.sbd.matrix.flac16
49,32,5/24/15,audience,https://archive.org/details/jrad2015-05-24.bin.flac16
50,33,5/30/15,soundboard,https://archive.org/details/jrad2015-05-30.cmc621.sbd.matrix.flac16
51,34,6/3/15,soundboard,https://archive.org/details/jrad2015-06-03.cmc55.sbd.matrix.flac16
