id,title,author,nicknames,suite,performances,copy_id,core_gd,cover_gd,cover_jg,core_jrad,aka,debut_gd,notes,abbrev
288,[unknown],[unknown],?,,,288,,,,,,,,?
367,Hoedown,Aaron Copeland,,,,367,,,,,,,,
357,Same Old Song & Dance,Aerosmith,,,,357,,,,,,,,
470,Big Boss Man,Al Smith & Luther Dixon,,,,470,,TRUE,,,,1966,,
309,Man in the Box,Alice In Chains,,,,309,,,,,,,,
77,Fortune Teller,Allen Toussaint,,,1346,77,,,,,,,,
337,"Get Out of My Life, Woman",Allen Toussaint (Lee Dorsey),,,4441,337,,TRUE,,,,1987?,,
411,Dreams,Allman Brothers Band,,,3805,411,,,,,,,,
801,Hot 'Lanta,Allman Brothers Band,,,4653:5114,801,,,,,,1971,https://en.wikipedia.org/wiki/Hot_'Lanta,
116,In Memory of Elizabeth Reed,Allman Brothers Band,Liz Reed,,1137:1862:2006:2827:3721:3806:4159:4493:5389,116,,,,,,,,
298,Jessica,Allman Brothers Band,,,3971:4084:4193:4342:4391:4509:5494,298,,,,,,,,
296,Mountain Jam,Allman Brothers Band,,,,296,,TRUE,,,,1970,,
735,Blues Stand Away from Me,"Alton Delmore, Rabon Delmore, Henry Glover, Wayne Raney (Delmore Brothers)",,,,720,,TRUE,,,,1987,,
648,"Neighbor, Neighbor",Alton Joseph Valier (Jimmy Hughes),,,,648,,TRUE,,,,1974?,,
419,Jolene,American Babies,,,,419,,,,TRUE,,,,
813,Restless Hearts,American Babies,,,4891,813,,,,TRUE,,,,
768,Swimming at Night,American Babies,,,,768,,,,TRUE,,,,
301,Winter War Games,American Babies,,,,301,,,,TRUE,,,,
94,Harry Hood,Anastasio – Gordon – Fishman – McConnell – Long (Phish),Hood,,,94,,,,,,,,
304,First Tube,Anastasio – Lawton – Markellis (Trey Anastasio Band),,,,304,,,,,,,,
454,Cavern,Anastasio – Marshall – Herman (Phish),,,,454,,,,,,,,
303,Wilson,Anastasio – Marshall – Woolf (Phish),,,,303,,,,,,,,
340,Roundabout,Anderson Bruford & Wakeman Howe (Yes),,,,340,,,,,,,,
829,Thunderstruck,Angus Young & Malcolm Young (AC/DC),,,,829,,,,,,1990,,
697,Got My Mojo Workin',Ann Cole & Preston Foster (Muddy Waters),,,,697,,TRUE,,,Got My Mojo Workin (But It Just Won't Work on You),1978,,
816,Magic Man,Ann Wilson & Nancy Wilson (Heart),,,,816,,,,,,1975,https://en.wikipedia.org/wiki/Magic_Man,
324,Tighten Up,Archie Bell & the Drells,,,,324,,,,,,,,
764,Aquí Como Allá,Arsenio Rodríguez y Su Conjunto (Marc Ribot y los Cubanos Postizos),,,,764,,,,,,,,
614,That's All Right (Mama),Arthur Crudup,,,,614,,TRUE,,,That's Alright Mama,1973,,
439,Celebrated Chop Waltz,Arthur de Lulli aka Euphemia Allen,,,,439,,,,,Chopsticks,,,
87,Good Lovin',Arthur Resnick & Rudy Clark (The Olympics; The Rascals),,,958:1120:1254:1330:1364:1422:1469:1536:1538:1670:1804:1884:1960:2021:2102:2166:2303:2346:2449:2498:2605:2699:2750:2894:2964:3064:3139:3195:3274:3347:3399:3422:3492:3521:3642:3734:3852:4049:4185:4310:4454:4594:4783:4877:5064:5094:5193:5259:5376:5403:5534,87,,TRUE,,,,1966,,
667,It's My Own Fault,B.B. King,,,,667,,TRUE,,,,1966,,
