id,name,location,capacity,generic name,tagname
1,Palace Theatre,"Albany, NY",2844,TRUE,Palace Theatre (Albany)
2,Grand Targhee Resort,"Alta, WY",,,Grand Targhee Resort
3,Infinity Downs Farm,"Arrington, VA",,,Infinity Downs Farm
143,The Stone Pony Summer Stage,"Asbury Park, NJ",,,The Stone Pony Summer Stage
4,The Orange Peel,"Asheville, NC",1050,,The Orange Peel
107,Salvage Station,"Asheville, NC",2500,,Salvage Station
111,Rabbit Rabbit,"Asheville, NC",4000,,Rabbit Rabbit
5,Belly Up,"Aspen, CO",450,,Belly Up
6,Tabernacle,"Atlanta, GA",2600,,Tabernacle
7,Candler Park,"Atlanta, GA",,,Candler Park
101,Centennial Olympic Park,"Atlanta, GA",,,Centennial Olympic Park
122,The Eastern,"Atlanta, GA",2200,,The Eastern
131,The Music Box @ Borgata Resort Spa & Casino,"Atlantic City, NJ",,,The Music Box @ Borgata Resort Spa & Casino
148,Island Water Park @ Showboat Resort,"Atlantic City, NJ",,,Island Water Park @ Showboat Resort
8,Moody Theater,"Austin, TX",2750,,Moody Theater
9,Carson Creek Ranch,"Austin, TX",,,Carson Creek Ranch
105,MECU Pavilion,"Baltimore, MD",4600,,MECU Pavilion
126,Pier Six Pavilion,"Baltimore, MD",4340,,Pier Six Pavilion
129,Maine Savings Amphitheater,"Bangor, ME",,,Maine Savings Amphitheater
154,Mountain Jam Festival,"Belleayre Mountain, NY",,,Mountain Jam Festival
10,Athletic Club of Bend,"Bend, OR",,,Athletic Club of Bend
11,Bethel Woods Center for the Arts,"Bethel, NY",,,Bethel Woods Center for the Arts
139,Wind Creek Event Center,"Bethlehem, PA",,,Wind Creek Event Center
12,Mizner Park Amphitheater,"Boca Raton, FL",,,Mizner Park Amphitheater
13,State Bridge Amphitheater,"Bond, CO",,,State Bridge Amphitheater
14,KettleHouse Amphitheater,"Bonner, MT",4000,,KettleHouse Amphitheater
15,Paradise Rock Club,"Boston, MA",933,,Paradise Rock Club
16,Blue Hills Bank Pavilion,"Boston, MA",5200,,Blue Hills Bank Pavilion
17,House of Blues,"Boston, MA",2500,TRUE,House of Blues (Boston)
106,Leader Bank Pavilion,"Boston, MA",5200,,Leader Bank Pavilion
18,Boulder Theater,"Boulder, CO",850,,Boulder Theater
19,Seaside Park,"Bridgeport, CT",,,Seaside Park
121,SeatGeek Stadium,"Bridgeview, IL",,,SeatGeek Stadium
20,Prospect Park,"Brooklyn, NY",,,Prospect Park
21,Threes Brewing,"Brooklyn, NY",,,Threes Brewing
22,Brooklyn Bowl,"Brooklyn, NY",600,TRUE,Brooklyn Bowl (Brooklyn)
23,1stBank Center,"Broomfield, CO",6500,,1stBank Center
25,Waterfront Park,"Burlington, VT",,,Waterfront Park
140,Reveille Peak Ranch,"Burnet, TX",,,Reveille Peak Ranch
27,Music Farm,"Charleston, SC",800,,Music Farm
142,The Fillmore,"Charlotte, NC",,TRUE,The Fillmore (Charlotte)
125,Ting Pavilion,"Charlottesville, VA",3500,,Ting Pavilion
141,FloydFest,"Check, VA",,,FloydFest
28,Union Park,"Chicago, IL",,,Union Park
29,Riviera Theatre,"Chicago, IL",2500,,Riviera Theatre
30,Huntington Bank Pavilion at Northerly Island,"Chicago, IL",,,Huntington Bank Pavilion at Northerly Island
31,Concord Music Hall,"Chicago, IL",,,Concord Music Hall
150,The Salt Shed,"Chicago, IL",,,The Salt Shed
32,Three Sisters Park,"Chillicothe, IL",,,Three Sisters Park
33,Masonic Cleveland Auditorium,"Cleveland, OH",,,Masonic Cleveland Auditorium
34,The Music Box,"Cleveland, OH",340,,The Music Box
103,Jacobs Pavilion at Nautica,"Cleveland, OH",5000,,Jacobs Pavilion at Nautica
35,Oregon Ridge Park,"Cockeysville, MD",,,Oregon Ridge Park
153,Merriweather Post Pavilion,"Columbia, MD",,,Merriweather Post Pavilion
36,House of Blues,"Dallas, TX",2500,TRUE,House of Blues (Dallas)
37,Ogden Theatre,"Denver, CO",1600,,Ogden Theatre
38,The Fillmore,"Denver, CO",3700,TRUE,The Fillmore (Denver)
39,Cuthbert Amphitheater,"Eugene, OR",4000,,Cuthbert Amphitheater
40,McDonald Theatre,"Eugene, OR",759,,McDonald Theatre
145,Perinton Center Park Amphitheater,"Fairport, NY",,,Perinton Center Park Amphitheater
41,Moose Light Blues Tent,"Fredericton, NB (Canada)",,,Moose Light Blues Tent
42,Founders Brewing Company,"Grand Rapids, MI",,,Founders Brewing Company
43,Greenfield Community College,"Greenfield, MA",,,Greenfield Community College
128,Hampton Beach Casino Ballroom,"Hampton Beach, NH",,,Hampton Beach Casino Ballroom
44,House of Blues,"Houston, TX",2500,TRUE,House of Blues (Houston)
45,Hunter Mountain,"Hunter, NY",,,Hunter Mountain
138,Indiana State Fairgrounds,"Indianapolis, IN",,,Indiana State Fairgrounds
46,Pool Deck,Jam Cruise,,TRUE,Pool Deck (Jam Cruise)
47,Pantheon Theater,Jam Cruise,1600,TRUE,Pantheon Theater (Jam Cruise)
132,Stateside Amphitheater at Jay Peak Resort,"Jay, VT",,,Stateside Amphitheater at Jay Peak Resort
48,Penn's Peak,"Jim Thorpe, PA",,,Penn's Peak
49,CounterPoint Music Festival,"Kingston Downs, GA",,,CounterPoint Music Festival
50,Brooklyn Bowl,"Las Vegas, NV",600,TRUE,Brooklyn Bowl (Las Vegas)
104,Artpark,"Lewiston, NY",10000,,Artpark
51,Spirit of the Suwannee Music Park,"Live Oak, FL",,,Spirit of the Suwannee Music Park
52,The Wiltern,"Los Angeles, CA",1850,,The Wiltern
53,Teragram Ballroom,"Los Angeles, CA",600,,Teragram Ballroom
54,Greek Theatre,"Los Angeles, CA",5870,TRUE,Greek Theatre (Los Angeles)
108,Hollywood Palladium,"Los Angeles, CA",,,Hollywood Palladium
55,Sunrise Ranch,"Loveland, CO",,,Sunrise Ranch
56,The Sylvee,"Madison, WI",,,The Sylvee
57,Orpheum Theatre,"Madison, WI",1700,,Orpheum Theatre
58,Great Stage Park,"Manchester, TN",,,Great Stage Park
59,Marshfield Fairgrounds,"Marshfield, MA",,,Marshfield Fairgrounds
144,Saint Louis Music Park,"Maryland Heights, MO",4500,,Saint Louis Music Park
134,Radians Amphitheater @ Memphis Botanical Garden,"Memphis, TN",,,Radians Amphitheater @ Memphis Botanical Garden
60,Turner Hall Ballroom,"Milwaukee, WI",300,,Turner Hall Ballroom
127,Oasis Stage,"Milwaukee, WI",,,Oasis Stage
149,The Riverside Theater,"Milwaukee, WI",,,The Riverside Theater
61,First Avenue,"Minneapolis, MN",1500,TRUE,First Avenue (Minneapolis)
62,The Wellmont Theater,"Montclair, NJ",2137,,The Wellmont Theater
130,Roanoke Island Festival Park,"Monteo, NC",,,Roanoke Island Festival Park
63,Red Rocks,"Morrison, CO",9525,,Red Rocks
137,RISE Mundelein,"Mundelein, IL",,,RISE Mundelein
64,War Memorial Auditorium,"Nashville, TN",2000,,War Memorial Auditorium
65,Ryman Auditorium,"Nashville, TN",2362,,Ryman Auditorium
66,College Street Music Hall,"New Haven, CT",2000,,College Street Music Hall
102,Westville Music Bowl,"New Haven, CT",,,Westville Music Bowl
67,Mardi Gras World Ballroom,"New Orleans, LA",,,Mardi Gras World Ballroom
68,Joy Theater,"New Orleans, LA",1200,,Joy Theater
124,The Fillmore,"New Orleans, LA",,TRUE,The Fillmore (New Orleans)
69,Webster Hall,"New York, NY",1500,,Webster Hall
135,Pier 17,"New York, NY",,,Pier 17
110,Promowest Pavilion at Ovation,"Newport, KY",2700 / 7000,,Promowest Pavilion at Ovation
136,Fort Adams State Park,"Newport, RI",,,Fort Adams State Park
70,Last Breath Farm,"Norridgewock, ME",,,Last Breath Farm
26,Clay's Park Resort,"North Lawrence, OH",,,Clay's Park Resort
119,Horning's Hideout,"North Plains, OR",,,Horning's Hideout
115,Cheshire Fairgrounds,"North Swanzey, NH",,,Cheshire Fairgrounds
71,Fox Theater,"Oakland, CA",2800,TRUE,Fox Theater (Oakland)
72,Mulberry Mountain,"Ozark, AR",,,Mulberry Mountain
118,Shorefront Park,"Patchogue, NY",,,Shorefront Park
73,Metropolitan Opera House,"Philadelphia, PA",3500,,Metropolitan Opera House
74,The Fillmore,"Philadelphia, PA",2500,TRUE,The Fillmore (Philadelphia)
75,Theater of the Living Arts,"Philadelphia, PA",,,Theater of the Living Arts
109,Brooklyn Bowl,"Philadelphia, PA",1000,TRUE,Brooklyn Bowl (Philadelphia)
117,Stage AE,"Pittsburgh, PA",2400,,Stage AE
76,Capitol Theatre,"Port Chester, NY",1800,,Capitol Theatre
77,State Theater,"Portland, ME",1680,TRUE,State Theater (Portland)
147,Thompson's Point,"Portland, ME",,,Thompson's Point
78,Lupo's Heartbreak Hotel,"Providence, RI",1980,,Lupo's Heartbreak Hotel
79,Fete Ballroom,"Providence, RI",930,,Fete Ballroom
80,Breathless & Now Onyx Resorts,"Punta Cana, Dominican Republic",,,Breathless & Now Onyx Resorts
81,Plumas County Fairgrounds,"Quincy, CA",,,Plumas County Fairgrounds
82,The Ritz,"Raleigh, NC",1400,,The Ritz
83,Marymoor Amphitheater,"Redmond, WA",5000,,Marymoor Amphitheater
